2026-04-17 21:37:31 | collector.websites   | INFO     | [success][OK][/success] Collected website data: Slack
2026-04-17 21:37:38 | collector.websites   | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\websites\Linear.json
2026-04-17 21:37:38 | collector.websites   | INFO     | [success][OK][/success] Collected website data: Linear
2026-04-17 21:37:48 | collector.websites   | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\websites\Figma.json
2026-04-17 21:37:48 | collector.websites   | INFO     | [success][OK][/success] Collected website data: Figma
2026-04-17 21:37:55 | collector.websites   | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\websites\Vercel.json
2026-04-17 21:37:55 | collector.websites   | INFO     | [success][OK][/success] Collected website data: Vercel
2026-04-17 21:38:02 | collector.websites   | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\websites\Stripe.json
2026-04-17 21:38:02 | collector.websites   | INFO     | [success][OK][/success] Collected website data: Stripe
2026-04-17 21:38:10 | collector.websites   | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\websites\Airtable.json
2026-04-17 21:38:10 | collector.websites   | INFO     | [success][OK][/success] Collected website data: Airtable
2026-04-17 21:38:17 | collector.websites   | WARNING  | No content retrieved for Canva (https://www.canva.com)
2026-04-17 21:38:24 | collector.websites   | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\websites\Calendly.json
2026-04-17 21:38:24 | collector.websites   | INFO     | [success][OK][/success] Collected website data: Calendly
2026-04-17 21:38:31 | collector.websites   | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\websites\Loom.json
2026-04-17 21:38:31 | collector.websites   | INFO     | [success][OK][/success] Collected website data: Loom
2026-04-17 21:38:31 | collector.websites   | INFO     | [stage]>> WEBSITE COLLECTOR[/stage] -- Done — 9 collected, 1 errors
2026-04-17 21:38:31 | collector.failory    | INFO     | [stage]>> FAILORY COLLECTOR[/stage] -- Starting collection
2026-04-17 21:38:31 | collector.failory    | INFO     | Fetching index: https://www.failory.com/cemetery
2026-04-17 21:38:39 | collector.failory    | INFO     | Found 31 article URLs from index
2026-04-17 21:38:40 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Houseparty.json
2026-04-17 21:38:40 | collector.failory    | INFO     | [success][OK][/success] Collected: Houseparty
2026-04-17 21:38:43 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Zulily.json
2026-04-17 21:38:43 | collector.failory    | INFO     | [success][OK][/success] Collected: Zulily
2026-04-17 21:38:46 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Sharingear.json
2026-04-17 21:38:46 | collector.failory    | INFO     | [success][OK][/success] Collected: Sharingear
2026-04-17 21:38:49 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Atrium.json
2026-04-17 21:38:49 | collector.failory    | INFO     | [success][OK][/success] Collected: Atrium
2026-04-17 21:38:53 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\RoomsTonite.json
2026-04-17 21:38:53 | collector.failory    | INFO     | [success][OK][/success] Collected: RoomsTonite
2026-04-17 21:38:55 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Rafter.json
2026-04-17 21:38:55 | collector.failory    | INFO     | [success][OK][/success] Collected: Rafter
2026-04-17 21:38:58 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Justin_tv.json
2026-04-17 21:38:58 | collector.failory    | INFO     | [success][OK][/success] Collected: Justin.tv
2026-04-17 21:39:01 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Dazo.json
2026-04-17 21:39:01 | collector.failory    | INFO     | [success][OK][/success] Collected: Dazo
2026-04-17 21:39:04 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Secret.json
2026-04-17 21:39:04 | collector.failory    | INFO     | [success][OK][/success] Collected: Secret
2026-04-17 21:39:07 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Vine.json
2026-04-17 21:39:07 | collector.failory    | INFO     | [success][OK][/success] Collected: Vine
2026-04-17 21:39:11 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\HubHaus.json
2026-04-17 21:39:11 | collector.failory    | INFO     | [success][OK][/success] Collected: HubHaus
2026-04-17 21:39:13 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\HiGear.json
2026-04-17 21:39:13 | collector.failory    | INFO     | [success][OK][/success] Collected: HiGear
2026-04-17 21:39:16 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Tink_Labs.json
2026-04-17 21:39:16 | collector.failory    | INFO     | [success][OK][/success] Collected: Tink Labs
2026-04-17 21:39:19 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Quibi.json
2026-04-17 21:39:19 | collector.failory    | INFO     | [success][OK][/success] Collected: Quibi
2026-04-17 21:39:22 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Toys_R_Us.json
2026-04-17 21:39:22 | collector.failory    | INFO     | [success][OK][/success] Collected: Toys R Us
2026-04-17 21:39:26 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Zirtual.json
2026-04-17 21:39:26 | collector.failory    | INFO     | [success][OK][/success] Collected: Zirtual
2026-04-17 21:39:29 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Daqri.json
2026-04-17 21:39:29 | collector.failory    | INFO     | [success][OK][/success] Collected: Daqri
2026-04-17 21:39:31 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Glitch.json
2026-04-17 21:39:31 | collector.failory    | INFO     | [success][OK][/success] Collected: Glitch
2026-04-17 21:39:35 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Xinja.json
2026-04-17 21:39:35 | collector.failory    | INFO     | [success][OK][/success] Collected: Xinja
